"","feeding_deposit","feeding_grazer","feeding_mining","feeding_predator","feeding_suspension","motility_facultative","motility_fast","motility_nonmotile","motility_slow","size_gigantic","size_large","size_medium","size_small","size_tiny","size_very_large","tiering_simple_epifaunal","tiering_simple_infaunal","tiering_simple_pelagic"
"Amaltheus_gibbosus",0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1
"Amaltheus_laevigatus",0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1
"Amaltheus_margaritatus",0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1
"Amaltheus_stokesi",0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1
"Amaltheus_subnodosus",0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1
"Amberleya_sp",0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
"Antiquilima_sp",0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0
"Ataphrus_sp",0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
"Balanocrinus_donovani",0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0
"Balanocrinus_gracilis",0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0
"Balanocrinus_solenotis",0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0
"Bositra_radiata",0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0
"Camptonectes_sp",0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0
"Camptonectes_subulatus",0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0
"Cardinia_laevis",0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0
"Catenichnus_sp",0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
"Chondrites_sp",0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
"Coelodiscus_sp",0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
"Cylindrobullina_sp",0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0
"Dactylioceras_clevelandicum",0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1
"Dactylioceras_crosbeyi",0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1
"Dactylioceras_semicelatum",0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1
"Dactylioceras_tenuicostatum",0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1
"Dentalium_sp",0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0
"Diplocraterion_sp",0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
"Entolium_lunare",0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0
"Eotrapezium_cucculatum",0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0
"Gibbirhynchia_amalthei",0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0
"Goniomya_hybrida",0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0
"Grammatodon_insons",0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0
"Grazer_indet_1",0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
"Grazer_indet_2",0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
"Gresslya_intermedia",0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0
"Gryphaea_gigantea",0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
"Hispidocrinus_schlumbergeri",0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0
"Homoeorhynchia_sp",0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0
"Isocrinus_basaltiformis",0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0
"Leptolepsis_saltivicensis",0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1
"Levipleura_blainvillei",0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0
"Liostrea_sp",0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0
"Lobothyris_punctata",0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0
"Mactromya_cardioides",0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0
"Meleagrinella_substriata",0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0
"Mesosaccella_galatea",0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
"Modiolus_scalprum",0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
"Nicaniella_striatosulcata",0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
"Nucinella_sp",0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
"Nuculana_sp",0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
"Oolitica_clevelandica",0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
"Ophioderma_egertoni",0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0
"Ophiomorpha_sp1",0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0
"Ophiomorpha_sp2",0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0
"Oxytoma_inequivalve",0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0
"Palaeonucula_navis",0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
"Palmoxytoma_cygnipes",0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0
"Parainoceramus_sp",0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0
"Parapassaloteuthis_zeiteni",0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1
"Passaloteuthis_bisulcata",0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1
"Passaloteuthis_milleri",0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1
"Pentacrinites_dichotomus",0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0
"Phoebichnus_sp",0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0
"Pholadomya_ambigua",0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0
"Pinna_folium",0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0
"Planolites_sp",0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
"Pleuroceras_apyrenum",0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1
"Pleuroceras_hawskerense",0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1
"Pleuromya_costata",0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0
"Plicatula_spinosa",0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0
"Procerithium_sp",0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
"Protocardia_truncata",0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0
"Pseudohastites_longiformis",0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1
"Pseudolimea_acuticostata",0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0
"Pseudomytiloides_dubius",0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0
"Pseudopecten_equivalvis",1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
"Ptychomphalus_expansus",0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0
"Rhizocorallium_sp1",0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
"Rhizocorallium_sp2",0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
"Ryderia_texturata",0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
"Seirocrinus_subangularis",0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0
"Serpula_sp",0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0
"Siphonites_sp",0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
"Skolithos_sp",0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
"Teichichnus_sp",0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
"Tetrarhynchia_tetrahedra",0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0
"Thalassinoides_sp1",0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0
"Thalassinoides_sp2",0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0
"Thalassinoides_sp3",0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0
"Tiltoniceras_antiquum",0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1
"Tutcheria_submulticostata",0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0
"Zygopleura_sp",0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
